concept:bird:loons	bird : loons
concept:televisionstation:wkyt	television station : wkyt
concept:agriculturalproduct:eggplants	agricultural product : eggplants
concept:insect:thrips	insect : thrips
concept:chemical:pectin	chemical : pectin
concept:disease:diarrhea	disease : diarrhea
concept:bird:elephant	bird : elephant
concept:sportsteam:pepperdine_waves	sports team : pepperdine waves
concept:room:offices	room : offices
concept:politicianus:senator_obama	politician us : senator obama
concept:country:left_parties	country : left parties
concept:city:yreka	city : yreka
concept:professionalorganization:cia	professional organization : cia
concept:sportsteam:austin_peay_state_governors	sports team : austin peay state governors
concept:visualizablescene:nz	visualizable scene : nz
concept:sportsteam:colorado_state	sports team : colorado state
concept:profession:information	profession : information
concept:sportsteam:navy_midshipmen	sports team : navy midshipmen
concept:scientist:marc_andreessen	scientist : marc andreessen
concept:city:juneau	city : juneau
concept:awardtrophytournament:national_league_east	award trophy tournament : national league east
concept:city:fort_walton_beach	city : fort walton beach
concept:stateorprovince:newfoundland_and_labrador	state or province : newfoundland and labrador
concept:sportsequipment:basketball_equipment	sports equipment : basketball equipment
concept:planet:question	planet : question
concept:researchproject:institute	research project : institute
concept:politicianus:giuliani	politician us : giuliani
concept:person:jeff_van_gundy	person : jeff van gundy
concept:profession:pilots	profession : pilots
concept:sportsteam:bolts	sports team : bolts
concept:coach:baltimore_ravens	coach : baltimore ravens
concept:profession:parts	profession : parts
concept:coach:san_diego_chargers	coach : san diego chargers
concept:mammal:kangaroos	mammal : kangaroos
concept:city:antioch	city : antioch
concept:sportsteam:chicago_bulls	sports team : chicago bulls
concept:visualizablething:altamonte_springs	visualizable thing : altamonte springs
concept:beverage:apple_juice	beverage : apple juice
concept:transportation:authority	transportation : authority
concept:arthropod:hornets	arthropod : hornets
concept:hallwayitem:problem	hallway item : problem
concept:website:campaign	website : campaign
concept:website:herald_tribune	website : herald tribune
concept:landscapefeatures:village	landscape features : village
concept:televisionstation:wund_tv	television station : wund tv
concept:stadiumoreventvenue:nationwide_arena	stadium or event venue : nationwide arena
concept:mammal:burrow	mammal : burrow
concept:bodypart:system001	bodypart : system001
concept:river:platte	river : platte
concept:animal:introduction	animal : introduction
concept:governmentorganization:template	government organization : template
concept:weatherphenomenon:pattern	weather phenomenon : pattern
concept:company:walt_disney_world	company : walt disney world
concept:journalist:bob_herbert	journalist : bob herbert
concept:meat:chicken_breasts	meat : chicken breasts
concept:bodypart:abdomen	bodypart : abdomen
concept:athlete:jeff_campbell	athlete : jeff campbell
concept:transportation:money	transportation : money
concept:chemical:preservatives	chemical : preservatives
concept:sportsteam:dodgers	sports team : dodgers
concept:profession:newark	profession : newark
concept:fish:skate	fish : skate
concept:musicalbum:story	music album : story
concept:website:kelkoo	website : kelkoo
concept:city:manhattan_beach	city : manhattan beach
concept:building:glendale	building : glendale
concept:county:atlanta	county : atlanta
concept:disease:sleep_disorders	disease : sleep disorders
concept:city:palo_alto	city : palo alto
concept:food:new_england	food : new england
concept:city:daily	city : daily
concept:city:diamond_bar	city : diamond bar
concept:televisionstation:wpsx_tv	television station : wpsx tv
concept:plant:sweet_gum	plant : sweet gum
concept:beverage:full_water	beverage : full water
concept:city:woodstock	city : woodstock
concept:airport:buffalo	airport : buffalo
concept:stadiumoreventvenue:cowboys_stadium	stadium or event venue : cowboys stadium
concept:personcanada:elizabeth_vargas	person canada : elizabeth vargas
concept:coach:ed_tapscott	coach : ed tapscott
concept:transportation:separate_air	transportation : separate air
concept:mammal:tapirs	mammal : tapirs
concept:terroristorganization:fresno	terrorist organization : fresno
concept:bodypart:tract001	bodypart : tract001
concept:newspaper:daily_journal	newspaper : daily journal
concept:sportsteam:siena_saints	sports team : siena saints
concept:crimeorcharge:heinous_crimes	crime or charge : heinous crimes
concept:website:wfld	website : wfld
concept:city:south_bend	city : south bend
concept:coach:brady_hoke	coach : brady hoke
concept:mammal:beavers	mammal : beavers
concept:agriculturalproduct:citrus_fruits	agricultural product : citrus fruits
concept:company:priority	company : priority
concept:insect:long_tongued_bees	insect : long tongued bees
concept:agriculturalproduct:oil_seeds	agricultural product : oil seeds
concept:airport:central_america	airport : central america
concept:agriculturalproduct:sugarcane	agricultural product : sugarcane
concept:sportsteam:villanova_wildcats	sports team : villanova wildcats
concept:park:supreme_court	park : supreme court
concept:condiment:jerk_seasoning	condiment : jerk seasoning
concept:beverage:tap_water	beverage : tap water
concept:chemical:dioxins	chemical : dioxins
concept:meat:sausage	meat : sausage
concept:city:amherst	city : amherst
concept:river:yazoo_river	river : yazoo river
concept:athlete:bernd_schuster	athlete : bernd schuster
concept:celebrity:screen	celebrity : screen
concept:food:mixed_vegetables	food : mixed vegetables
concept:beverage:hershey	beverage : hershey
concept:vehicle:government	vehicle : government
concept:city:haddonfield	city : haddonfield
concept:mammal:canids	mammal : canids
concept:dateliteral:n1910	date literal : n1910
concept:amphibian:references	amphibian : references
concept:stadiumoreventvenue:memorial_stadium	stadium or event venue : memorial stadium
concept:vegetable:cottonseed	vegetable : cottonseed
concept:disease:hearing_loss	disease : hearing loss
concept:blog:form	blog : form
concept:coach:jauron	coach : jauron
concept:fish:swordfish	fish : swordfish
concept:crimeorcharge:felony_crimes	crime or charge : felony crimes
concept:visualizablething:water_vapour	visualizable thing : water vapour
concept:coach:pat_hill	coach : pat hill
concept:sportsteam:jacksonville_state_gamecocks	sports team : jacksonville state gamecocks
concept:stateorprovince:west_virginia	state or province : west virginia
concept:sportsteam:bucks	sports team : bucks
concept:sportsteam:kent_state_university	sports team : kent state university
concept:sportsteam:georgia_tech	sports team : georgia tech
concept:economicsector:internet_advertising	economic sector : internet advertising
concept:televisionstation:kcwc_tv	television station : kcwc tv
concept:sportsteam:phoenix_coyotes	sports team : phoenix coyotes
concept:televisionnetwork:cbs	television network : cbs
concept:personus:roger_smith	personus : roger smith
concept:city:salinas	city : salinas
concept:beverage:overall_water	beverage : overall water
concept:city:joshua_tree	city : joshua tree
concept:person:caterina_fake	person : caterina fake
concept:person:steven	person : steven
concept:politicianus:senators_john_mccain	politician us : senators john mccain
concept:artery:skin	artery : skin
concept:country:eastern_european_countries	country : eastern european countries
concept:room:stay	room : stay
concept:musicsong:abilene	music song : abilene
concept:attraction:locations	attraction : locations
concept:sportsteam:miami_dolphins	sports team : miami dolphins
concept:date:n1951	date : n1951
concept:sportsteam:rutgers_scarlet_knights	sports team : rutgers scarlet knights
concept:city:pacific	city : pacific
concept:stateorprovince:arizona	state or province : arizona
concept:televisionstation:daily_mail	television station : daily mail
concept:city:alta_loma	city : alta loma
concept:newspaper:advocate	newspaper : advocate
concept:condiment:relish	condiment : relish
concept:personnorthamerica:john_mccain	person north america : john mccain
concept:website:aol_video	website : aol video
concept:stadiumoreventvenue:nationals_park	stadium or event venue : nationals park
concept:eventoutcome:core	event outcome : core
concept:ceo:samuel_j__palmisano	ceo : samuel j  palmisano
concept:plant:spruces	plant : spruces
concept:city:burlingame	city : burlingame
concept:planet:harvest	planet : harvest
concept:retailstore:snail_mail	retail store : snail mail
concept:river:nauvoo	river : nauvoo
concept:buildingmaterial:aluminum	building material : aluminum
concept:stateorprovince:georgia	state or province : georgia
concept:agriculturalproduct:lime	agricultural product : lime
concept:person:kevin	person : kevin
concept:building:outlet	building : outlet
concept:city:pittsfield	city : pittsfield
concept:plant:yellowwood	plant : yellowwood
concept:city:kirkwood	city : kirkwood
concept:plant:acacia	plant : acacia
concept:biotechcompany:bea_systems	biotech company : bea systems
concept:televisionstation:whiq	television station : whiq
concept:televisionstation:ksnw_tv	television station : ksnw tv
concept:hallwayitem:thousand	hallway item : thousand
concept:room:hour	room : hour
concept:visualizablething:brockton	visualizable thing : brockton
concept:city:nagpur	city : nagpur
concept:actor:scott_mcnealy	actor : scott mcnealy
concept:buildingmaterial:tempered_glass	building material : tempered glass
concept:plant:boxwood	plant : boxwood
concept:plant:poplar	plant : poplar
concept:insect:crabs	insect : crabs
concept:coach:dino_gaudio	coach : dino gaudio
concept:sportsteam:western_kentucky_hilltoppers	sports team : western kentucky hilltoppers
concept:chemical:carbon_emissions	chemical : carbon emissions
concept:personmexico:seattle_mariners	person mexico : seattle mariners
concept:person:brian_tierney	person : brian tierney
concept:winery:federal_express	winery : federal express
concept:personnorthamerica:frank_leahy	person north america : frank leahy
concept:chemical:substances	chemical : substances
concept:weatherphenomenon:cold_air	weather phenomenon : cold air
concept:fish:shellfish	fish : shellfish
concept:sportsteam:western_illinois	sports team : western illinois
concept:sportsteam:tampa_bay_lightning	sports team : tampa bay lightning
concept:vegetable:pumpkins	vegetable : pumpkins
concept:stadiumoreventvenue:disch_falk_field	stadium or event venue : disch falk field
concept:sportsteam:utah_state	sports team : utah state
concept:stateorprovince:delaware	state or province : delaware
concept:river:cam	river : cam
concept:televisionstation:wfsu_tv	television station : wfsu tv
concept:city:seoul	city : seoul
concept:artery:sinusoids	artery : sinusoids
concept:person:partner	person : partner
concept:country:panama	country : panama
concept:televisionstation:kwqc_tv	television station : kwqc tv
concept:newspaper:the_chicago_tribune	newspaper : the chicago tribune
concept:radiostation:lima	radiostation : lima
concept:city:haughton	city : haughton
concept:color:red	color : red
concept:country:year_china	country : year china
concept:athlete:dan_walters	athlete : dan walters
concept:country:macedonia	country : macedonia
concept:sportsgame:consecutive_months	sportsgame : consecutive months
concept:writer:harvard	writer : harvard
concept:sportsequipment:area	sports equipment : area
concept:stadiumoreventvenue:old_trafford	stadium or event venue : old trafford
concept:agriculturalproduct:herbs	agricultural product : herbs
concept:race:calendar	race : calendar
concept:planet:seven	planet : seven
concept:city:matthews	city : matthews
concept:city:miami_beach	city : miami beach
concept:plant:sagebrush	plant : sagebrush
concept:sportsleague:nhl	sports league : nhl
concept:meat:chipotle_sauce	meat : chipotle sauce
concept:city:newport_beach	city : newport beach
concept:newspaper:weekly	newspaper : weekly
concept:vegetable:roasted_potatoes	vegetable : roasted potatoes
concept:televisionstation:kark_tv	television station : kark tv
concept:drug:calcium_carbonate	drug : calcium carbonate
concept:book:network	book : network
concept:insect:arkansas	insect : arkansas
concept:musicalbum:destination	music album : destination
concept:river:bay_of_bengal	river : bay of bengal
concept:lake:mid_atlantic	lake : mid atlantic
concept:chemical:nitric_acid	chemical : nitric acid
concept:disease:visual_impairment	disease : visual impairment
concept:bank:pnc	bank : pnc
concept:landscapefeatures:road	landscape features : road
concept:stateorprovince:alberta	state or province : alberta
concept:profession:cape_may	profession : cape may
concept:geopoliticallocation:north_texas	geopolitical location : north texas
concept:chemical:billion	chemical : billion
concept:televisionstation:wdcq_tv	television station : wdcq tv
concept:mldataset:groups	ml dataset : groups
concept:city:sylmar	city : sylmar
concept:emotion:honor	emotion : honor
concept:vertebrate:panthers	vertebrate : panthers
concept:food:heart	food : heart
concept:hotel:boutique_hotel	hotel : boutique hotel
concept:personus:ken_lewis	personus : ken lewis
concept:bird:emus	bird : emus
concept:city:redan	city : redan
concept:stadiumoreventvenue:dolphins_stadium	stadium or event venue : dolphins stadium
concept:disease:ad_hd	disease : ad hd
concept:economicsector:travel	economic sector : travel
concept:book:services	book : services
concept:stateorprovince:slaskie	state or province : slaskie
concept:stadiumoreventvenue:izod_center	stadium or event venue : izod center
concept:person:elizabeth001	person : elizabeth001
concept:magazine:stuff	magazine : stuff
concept:musicartist:federation	music artist : federation
concept:agriculturalproduct:watermelon	agricultural product : watermelon
concept:crimeorcharge:system	crime or charge : system
concept:continent:antarctica	continent : antarctica
concept:currency:colones	currency : colones
concept:lymphnode:lymph_nodes	lymphnode : lymph nodes
concept:airport:watertown	airport : watertown
concept:sportsteam:terps	sports team : terps
concept:date:n1977	date : n1977
concept:museum:microsoft_corporation	museum : microsoft corporation
concept:country:estonia	country : estonia
concept:politician:greg_nickels	politician : greg nickels
concept:sportsteam:capitals	sports team : capitals
concept:city:livermore	city : livermore
concept:condiment:special_sauce	condiment : special sauce
concept:mammal:pandas	mammal : pandas
concept:bird:pelicans	bird : pelicans
concept:street:congress	street : congress
concept:sportsleague:college_football	sports league : college football
concept:currency:litas	currency : litas
concept:sportsteam:st_louis_rams	sports team : st louis rams
concept:island:manhattan	island : manhattan
concept:televisionstation:jersey_city	television station : jersey city
concept:food:pollen	food : pollen
concept:visualizablescene:structure	visualizable scene : structure
concept:coach:tedford	coach : tedford
concept:coach:george_halas	coach : george halas
concept:musicartist:allies	music artist : allies
concept:sportsgame:more_days	sportsgame : more days
concept:currency:rupees	currency : rupees
concept:beverage:hot_chocolate	beverage : hot chocolate
concept:televisionstation:kswk	television station : kswk
concept:sportsteam:new_york_red_bulls	sports team : new york red bulls
concept:governmentorganization:u_s__dept__of_health_and_human_services	government organization : u s  dept  of health and human services
concept:river:poudre	river : poudre
concept:jobposition:prime_minister	job position : prime minister
concept:country:liberia	country : liberia
concept:animal:rare_animals	animal : rare animals
concept:museum:terms	museum : terms
concept:food:rabbits	food : rabbits
concept:city:last_minute	city : last minute
concept:braintissue:encephalon	brain tissue : encephalon
concept:location:complex	location : complex
concept:personcanada:utah_utes	person canada : utah utes
concept:city:sandiego	city : sandiego
concept:website:forum	website : forum
concept:city:woodland	city : woodland
concept:personus:thomas_steen	personus : thomas steen
concept:person:fred	person : fred
concept:stateorprovince:amazonas	state or province : amazonas
concept:crimeorcharge:right_click	crime or charge : right click
concept:website:results	website : results
concept:stadiumoreventvenue:second_city	stadium or event venue : second city
concept:televisionstation:wncn_tv	television station : wncn tv
concept:company:maven_networks	company : maven networks
concept:company:tim	company : tim
concept:airport:little_rock	airport : little rock
concept:highway:southeast	highway : southeast
concept:male:vin_lananna	male : vin lananna
concept:nut:leaves	nut : leaves
concept:profession:morris	profession : morris
concept:trainstation:south_central	trainstation : south central
concept:stadiumoreventvenue:indianapolis_downtown	stadium or event venue : indianapolis downtown
concept:country:career	country : career
concept:dayofweek:wednesday	day of week : wednesday
concept:vehicle:t__boone_pickens	vehicle : t  boone pickens
concept:bakedgood:salad_sandwich	baked good : salad sandwich
concept:agriculturalproduct:fresh_ginger	agricultural product : fresh ginger
concept:river:severn	river : severn
concept:city:waco	city : waco
concept:currency:ringgit	currency : ringgit
concept:river:humber	river : humber
concept:vertebrate:flocks	vertebrate : flocks
concept:hallwayitem:project	hallway item : project
concept:crustacean:bivalves	crustacean : bivalves
concept:stadiumoreventvenue:infocision_stadium	stadium or event venue : infocision stadium
concept:river:bow	river : bow
concept:beach:nova_scotia	beach : nova scotia
concept:vein:lungs	vein : lungs
concept:room:youth	room : youth
concept:writer:dover	writer : dover
concept:city:college_station	city : college station
concept:sportsleague:nba	sports league : nba
concept:university:search	university : search
concept:sportsteam:gamecocks	sports team : gamecocks
concept:musicalbum:trip	music album : trip
concept:coach:jim_boeheim	coach : jim boeheim
concept:chef:brian_hill	chef : brian hill
concept:dateliteral:n1930	date literal : n1930
concept:food:slices	food : slices
concept:visualizableattribute:rural_water	visualizable attribute : rural water
concept:building:town	building : town
concept:university:western_illinois	university : western illinois
concept:currency:shillings	currency : shillings
concept:bank:international_priority_mail	bank : international priority mail
concept:museum:gallery	museum : gallery
concept:mollusk:domesticated_animals	mollusk : domesticated animals
concept:person:neil_cavuto	person : neil cavuto
concept:plant:aspen	plant : aspen
concept:mlconference:change	ml conference : change
concept:emotion:moment	emotion : moment
concept:country:papua_new_guinea	country : papua new guinea
concept:meat:roast_beef	meat : roast beef
concept:year:n1896	year : n1896
concept:river:salmon_river	river : salmon river
concept:planet:crisis	planet : crisis
concept:insect:insect_pests	insect : insect pests
concept:coach:shanahan	coach : shanahan
concept:economicsector:gaming	economic sector : gaming
concept:beverage:industrial_air	beverage : industrial air
concept:agriculturalproduct:seasons	agricultural product : seasons
concept:legume:vines	legume : vines
concept:building:flight	building : flight
concept:condiment:feta_cheese	condiment : feta cheese
concept:athlete:wta	athlete : wta
concept:plant:myrtles	plant : myrtles
concept:city:aurora	city : aurora
concept:artery:neck	artery : neck
concept:sportsleague:national_basketball_association	sports league : national basketball association
concept:county:ohio_valley	county : ohio valley
concept:hobby:work	hobby : work
concept:city:santa_ana	city : santa ana
concept:city:boca_raton	city : boca raton
concept:geometricshape:sides	geometric shape : sides
concept:sportsleague:league	sports league : league
concept:dateliteral:n2010	date literal : n2010
concept:city:mn	city : mn
concept:invertebrate:information_page	invertebrate : information page
concept:visualizablething:fertilizers	visualizable thing : fertilizers
concept:transportation:room_air	transportation : room air
concept:visualizablescene:blacksburg	visualizable scene : blacksburg
concept:coach:mike_shula	coach : mike shula
concept:governmentorganization:department_of_health_and_human_services	government organization : department of health and human services
concept:disease:severe_emotional_disturbance	disease : severe emotional disturbance
concept:visualizableattribute:reliable_water	visualizable attribute : reliable water
concept:geopoliticallocation:factor	geopolitical location : factor
concept:profession:therapists	profession : therapists
concept:city:dekalb	city : dekalb
concept:book:years	book : years
concept:coach:new	coach : new
concept:stadiumoreventvenue:pengrowth_saddledome	stadium or event venue : pengrowth saddledome
concept:personafrica:keyword	personafrica : keyword
concept:plant:oak_tree	plant : oak tree
concept:buildingfeature:tab_window	building feature : tab window
concept:city:rancho_santa_fe	city : rancho santa fe
concept:stadiumoreventvenue:shoreline_amphitheater	stadium or event venue : shoreline amphitheater
concept:city:muncie	city : muncie
concept:city:plano	city : plano
concept:politicianus:cindy_mccain	politician us : cindy mccain
concept:insect:earthworms	insect : earthworms
concept:person:ryan_church	person : ryan church
concept:athlete:rockies	athlete : rockies
concept:city:philly	city : philly
concept:stateorprovince:munich	state or province : munich
concept:nut:edible_nuts	nut : edible nuts
concept:politicianus:hillary_rodham_clinton	politician us : hillary rodham clinton
concept:jobposition:lord	job position : lord
concept:newspaper:staten_island_advance	newspaper : staten island advance
concept:city:info	city : info
concept:sportsteam:northeastern_huskies	sports team : northeastern huskies
concept:website:yahoo_publisher_network	website : yahoo publisher network
concept:city:malta	city : malta
concept:coach:steve_addazio	coach : steve addazio
concept:programminglanguage:levels	programming language : levels
concept:mldataset:pm	ml dataset : pm
concept:room:house	room : house
concept:perceptionaction:council_bluffs	perception action : council bluffs
concept:chemical:volatile_organic_compounds	chemical : volatile organic compounds
concept:fish:small_fish	fish : small fish
concept:visualizablescene:observatory	visualizable scene : observatory
concept:company:microsoft_corporation001	company : microsoft corporation001
concept:visualizablescene:vacation	visualizable scene : vacation
concept:televisionstation:wune_tv	television station : wune tv
concept:agriculturalproduct:cayenne_pepper	agricultural product : cayenne pepper
concept:company:bloomberg	company : bloomberg
concept:physiologicalcondition:retardation	physiological condition : retardation
concept:televisionstation:wmgt	television station : wmgt
concept:plant:pepper	plant : pepper
concept:plant:roses	plant : roses
concept:sportsteam:austin_peay_governors	sports team : austin peay governors
concept:park:n11	park : n11
concept:coach:mark_gottfried	coach : mark gottfried
concept:person:tony_snow	person : tony snow
concept:county:uis	county : uis
concept:sportsteam:st_bonaventure_bonnies	sports team : st bonaventure bonnies
concept:bank:fed_ex	bank : fed ex
concept:creditunion:north_carolina	credit union : north carolina
concept:disease:terminal_illnesses	disease : terminal illnesses
concept:nerve:spinal_nerve_roots	nerve : spinal nerve roots
concept:politicsissue:creation	politics issue : creation
concept:emotion:purity	emotion : purity
concept:city:porterville	city : porterville
concept:vertebrate:crayfish	vertebrate : crayfish
concept:planet:economy	planet : economy
concept:skyscraper:financial_center	skyscraper : financial center
concept:personaustralia:avery_johnson	person australia : avery johnson
concept:website:influence	website : influence
concept:bakedgood:cream	baked good : cream
concept:coach:kyle_whittingham	coach : kyle whittingham
concept:sportsteam:memphis_tigers	sports team : memphis tigers
concept:politician:sites	politician : sites
concept:river:euphrates	river : euphrates
concept:food:cajun_spices	food : cajun spices
concept:bridge:offerings	bridge : offerings
concept:mammal:raccoons	mammal : raccoons
concept:country:syria	country : syria
concept:politicsbill:office	politics bill : office
concept:mammal:social_animals	mammal : social animals
concept:nut:wave	nut : wave
concept:city:vegas	city : vegas
concept:politicianus:joe_biden	politician us : joe biden
concept:person:meyer	person : meyer
concept:stadiumoreventvenue:cinergy_field	stadium or event venue : cinergy field
concept:emotion:optimism	emotion : optimism
concept:plant:redwood	plant : redwood
concept:company:post	company : post
concept:sportsteam:texas_longhorns	sports team : texas longhorns
concept:insect:paper_wasps	insect : paper wasps
concept:city:bellwood	city : bellwood
concept:food:baked_ham	food : baked ham
concept:landscapefeatures:lakes	landscape features : lakes
concept:politicianus:democratic_candidate_barack_obama	politician us : democratic candidate barack obama
concept:blog:paradise	blog : paradise
concept:chemical:chemical_compounds	chemical : chemical compounds
concept:mollusk:arthropods	mollusk : arthropods
concept:sportsteam:blue_jackets	sports team : blue jackets
concept:magazine:popular_science	magazine : popular science
concept:female:seven	female : seven
concept:sportsteam:calgary_flames	sports team : calgary flames
concept:website:orange	website : orange
concept:skiarea:lithia_springs	ski area : lithia springs
concept:geopoliticallocation:americas	geopolitical location : americas
concept:athlete:search_com	athlete : search com
concept:conference:ifpi	conference : ifpi
concept:geopoliticalorganization:sovereign_state	geopolitical organization : sovereign state
concept:country:republic_of_armenia	country : republic of armenia
concept:politicianus:fred_smith	politician us : fred smith
concept:filmfestival:eight	film festival : eight
concept:disease:growth_hormone_deficiency	disease : growth hormone deficiency
concept:bodypart:condition	bodypart : condition
concept:stadiumoreventvenue:lexington	stadium or event venue : lexington
concept:currency:leu	currency : leu
concept:televisionstation:kuas_tv	television station : kuas tv
concept:room:fresno	room : fresno
concept:city:bell	city : bell
concept:coach:dick_jauron	coach : dick jauron
concept:mammal:sheep	mammal : sheep
concept:sportsteam:new_york_giants_in_super_bowl_xlii	sports team : new york giants in super bowl xlii
concept:city:norcross	city : norcross
concept:company:informix	company : informix
concept:plant:manzanita	plant : manzanita
concept:city:danville	city : danville
concept:fish:blue_catfish	fish : blue catfish
concept:personmexico:isaiah_thomas	person mexico : isaiah thomas
concept:biotechcompany:rational_software	biotech company : rational software
concept:city:santa_cruz_das_flores	city : santa cruz das flores
concept:island:question	island : question
concept:criminal:baton_rouge	criminal : baton rouge
concept:plant:lawns	plant : lawns
concept:person:maykel_galindo	person : maykel galindo
concept:city:article	city : article
concept:sportsteam:royals	sports team : royals
concept:city:rio	city : rio
concept:sportsequipment:frame	sports equipment : frame
concept:stateorprovince:rhode_island	state or province : rhode island
concept:televisionstation:wmea_tv	television station : wmea tv
concept:plant:chestnuts	plant : chestnuts
concept:company:vivendi	company : vivendi
concept:stateorprovince:value	state or province : value
concept:date:april_12	date : april 12
concept:programminglanguage:enter	programming language : enter
concept:beach:jacksonville	beach : jacksonville
concept:website:weht	website : weht
concept:politicianus:forbes	politician us : forbes
concept:disease:lactose_intolerance	disease : lactose intolerance
concept:city:melbourne	city : melbourne
concept:coach:vivian_stringer	coach : vivian stringer
concept:river:yellowstone	river : yellowstone
concept:plant:sunflowers	plant : sunflowers
concept:insect:stonefly	insect : stonefly
concept:agriculturalproduct:fruits	agricultural product : fruits
concept:meat:salmon	meat : salmon
concept:coach:billick	coach : billick
concept:disease:food_allergies	disease : food allergies
concept:year:n1881	year : n1881
concept:coach:lou_holtz	coach : lou holtz
concept:disease:congenital_heart_diseases	disease : congenital heart diseases
concept:stadiumoreventvenue:rbc_center	stadium or event venue : rbc center
concept:geopoliticallocation:reports	geopolitical location : reports
concept:street:role	street : role
concept:bathroomitem:water_treatment	bathroom item : water treatment
concept:arthropod:yellow_jackets	arthropod : yellow jackets
concept:person:alex_rodriguez	person : alex rodriguez
concept:artery:canal	artery : canal
concept:airport:rinas	airport : rinas
concept:arthropod:bloodworm	arthropod : bloodworm
concept:bird:sea_birds	bird : sea birds
concept:reptile:boar	reptile : boar
concept:sportsteamposition:position	sports team position : position
concept:stateorprovince:fl	state or province : fl
concept:economicsector:life_insurance	economic sector : life insurance
concept:animal:sugar_gliders	animal : sugar gliders
concept:city:channelview	city : channelview
concept:sportsgame:n1996_world_series	sportsgame : n1996 world series
concept:coach:mark_mangino	coach : mark mangino
concept:sportsteam:phils	sports team : phils
concept:plant:western_hemlock	plant : western hemlock
concept:date:may_13	date : may 13
concept:sportsteam:iowa_hawkeyes	sports team : iowa hawkeyes
concept:artery:individuals	artery : individuals
concept:geopoliticalorganization:costa_mesa	geopolitical organization : costa mesa
concept:company:ebay	company : ebay
concept:nut:black_walnut	nut : black walnut
concept:geopoliticallocation:ambler	geopolitical location : ambler
concept:braintissue:adrenal_medulla	brain tissue : adrenal medulla
concept:visualizablething:purvis	visualizable thing : purvis
concept:city:truckee	city : truckee
concept:reptile:leatherback_turtles	reptile : leatherback turtles
concept:nerve:rhombencephalon	nerve : rhombencephalon
concept:visualizablething:polenta	visualizable thing : polenta
concept:transportation:belleville	transportation : belleville
concept:currency:manats	currency : manats
concept:river:thames_river	river : thames river
concept:sportsteam:southern_illinois	sports team : southern illinois
concept:website:owner	website : owner
concept:crustacean:lobsters	crustacean : lobsters
concept:disease:kidney_stones	disease : kidney stones
concept:newspaper:daily	newspaper : daily
concept:coach:claude_julien	coach : claude julien
concept:stadiumoreventvenue:sun_bowl_stadium	stadium or event venue : sun bowl stadium
concept:mammal:zebras	mammal : zebras
concept:plant:coniferous_trees	plant : coniferous trees
concept:stateorprovince:rights	state or province : rights
concept:buildingfeature:organizations	building feature : organizations
concept:fish:parrots	fish : parrots
concept:city:scottdale	city : scottdale
concept:city:college	city : college
concept:building:ohio_state	building : ohio state
concept:automobilemaker:opel	automobile maker : opel
concept:politicianus:president_clinton	politician us : president clinton
concept:emotion:doubt	emotion : doubt
concept:river:niagara	river : niagara
concept:disease:colitis	disease : colitis
concept:person:barbara_bush	person : barbara bush
concept:island:society	island : society
concept:city:deerfield_beach	city : deerfield beach
concept:mammal:domestic_animals	mammal : domestic animals
concept:emotion:mind	emotion : mind
concept:sportsteam:southern_utah_thunderbirds	sports team : southern utah thunderbirds
concept:country:u_s_a	country : u s a
concept:plant:apple	plant : apple
concept:sportsleague:mls	sports league : mls
concept:plant:coconut_palm	plant : coconut palm
concept:governmentorganization:supreme_court	government organization : supreme court
concept:stadiumoreventvenue:cobb_energy_performing_arts_centre	stadium or event venue : cobb energy performing arts centre
concept:animal:child	animal : child
concept:person:tom_brokaw001	person : tom brokaw001
concept:blog:alligator	blog : alligator
concept:farm:extension	farm : extension
concept:politicsissue:entertainment	politics issue : entertainment
concept:chemical:sweeteners	chemical : sweeteners
concept:fish:cichlids	fish : cichlids
concept:governmentorganization:program	government organization : program
concept:university:villanova	university : villanova
concept:dateliteral:n2008	date literal : n2008
concept:date:n1903	date : n1903
concept:hotel:old	hotel : old
concept:website:yahoo__search_marketing	website : yahoo  search marketing
concept:chemical:carcinogen	chemical : carcinogen
concept:city:elmwood_park	city : elmwood park
concept:river:rideau	river : rideau
concept:emotion:site	emotion : site
concept:stateorprovince:schools	state or province : schools
concept:company:aol	company : aol
concept:bodypart:nervous_tissue	bodypart : nervous tissue
concept:company:applied_semantics	company : applied semantics
concept:company:innovation	company : innovation
concept:sportsteam:packers	sports team : packers
concept:university:akron	university : akron
concept:city:muskegon	city : muskegon
concept:beverage:solar_water	beverage : solar water
concept:sportsteamposition:great_pitchers	sports team position : great pitchers
concept:river:east_river	river : east river
concept:skiarea:maine	ski area : maine
concept:stadiumoreventvenue:busch_memorial_stadium	stadium or event venue : busch memorial stadium
concept:food:mash	food : mash
concept:athlete:vernon_wells	athlete : vernon wells
concept:animal:peregrine_falcons	animal : peregrine falcons
concept:coach:oliver_purnell	coach : oliver purnell
concept:condiment:teriyaki_sauce	condiment : teriyaki sauce
concept:beverage:amazing_water	beverage : amazing water
concept:chemical:chemical_perchlorate	chemical : chemical perchlorate
concept:city:barrington	city : barrington
concept:sport:basketball	sport : basketball
concept:sportsteam:morehead_state_eagles	sports team : morehead state eagles
concept:politicianus:john_f__kennedy	politician us : john f  kennedy
concept:emotion:senate	emotion : senate
concept:disease:dyslexia	disease : dyslexia
concept:coach:washington_redskins	coach : washington redskins
concept:televisionstation:wcfe_tv	television station : wcfe tv
